"","Estimate","Est.Error","Q2.5","Q97.5","Treebank"
"growthRate_Intercept18",0.000517586303361124,1.44356143269708e-05,0.00049019989046936,0.000546835398932867,"UD_Icelandic-GC"
"delta_Intercept18",0.400175662791821,0.00609889999727321,0.388166542987834,0.412220148463438,"UD_Icelandic-GC"
"upperAsymptote_Intercept19",0.660101490449999,0.0572199036749503,0.584040477849197,0.808125277447623,"UD_Lithuanian-HSE"
"lowerAsymptote_Intercept19",0.372895621861153,0.0739766721130498,0.217579590759828,0.523556645059442,"UD_Lithuanian-HSE"
"growthRate_Intercept19",3.72483372071114,3.31077395457017,0.000806018010652045,9.65356825025898,"UD_Lithuanian-HSE"
"delta_Intercept19",3.95050558697759,3.15455087529319,0.218113689326192,9.61955017172589,"UD_Lithuanian-HSE"
"upperAsymptote_Intercept20",0.945714348090377,0.00130013749364189,0.943245151190215,0.948418580889048,"UD_Greek-GDT"
"lowerAsymptote_Intercept20",0.452489883029241,0.00398131033874114,0.44474680244488,0.460356357324653,"UD_Greek-GDT"
"growthRate_Intercept20",0.000872587118175477,2.20773138567048e-05,0.000831202640660469,0.000917544276154248,"UD_Greek-GDT"
"delta_Intercept20",0.401911495081995,0.00657924222872651,0.389052821264972,0.414842427463389,"UD_Greek-GDT"
"upperAsymptote_Intercept21",0.913555849270619,0.0257082329975736,0.865644186818106,0.930425119967886,"UD_Finnish-TDT"
"lowerAsymptote_Intercept21",0.353797665287861,0.0318570878251796,0.300280205444216,0.442414630407825,"UD_Finnish-TDT"
"growthRate_Intercept21",1.14308489724255,2.42424834270485,0.000325169209061321,8.91809192760048,"UD_Finnish-TDT"
"delta_Intercept21",1.27307785408182,2.26328977822559,0.112572358410686,8.67458620202135,"UD_Finnish-TDT"
"upperAsymptote_Intercept22",0.939130408967748,0.00126649967059718,0.936754853798052,0.941665916211953,"UD_English-ParTUT"
"lowerAsymptote_Intercept22",0.409758727951081,0.00703240289568699,0.39599166190753,0.423668066594916,"UD_English-ParTUT"
"growthRate_Intercept22",0.00114320344268248,4.34728308388266e-05,0.00106055147709443,0.00122913803438319,"UD_English-ParTUT"
"delta_Intercept22",0.46909898764579,0.0119821022476966,0.445926301044492,0.49295017619517,"UD_English-ParTUT"
"upperAsymptote_Intercept23",0.929134747531439,0.00139404489868057,0.926415860427273,0.931899623914295,"UD_Pomak-Philotis"
"lowerAsymptote_Intercept23",0.501768982619879,0.0039130749120582,0.494038566619292,0.509472229384431,"UD_Pomak-Philotis"
"growthRate_Intercept23",0.000925829212705592,2.04801237347717e-05,0.000885679585418352,0.000966719826134703,"UD_Pomak-Philotis"
"delta_Intercept23",0.604556173306973,0.0123131474095368,0.58113260893782,0.629021255941899,"UD_Pomak-Philotis"
"upperAsymptote_Intercept24",0.935496970358127,0.000893906607941198,0.93377825784739,0.937272179510996,"UD_English-LinES"
"lowerAsymptote_Intercept24",0.435102783092203,0.00377361302551827,0.427671639173455,0.442606947775074,"UD_English-LinES"
"growthRate_Intercept24",0.000769751978398856,1.75777207928339e-05,0.000735584793153643,0.000804781564895497,"UD_English-LinES"
"delta_Intercept24",0.401118930006534,0.00524472606706745,0.391073708406325,0.411564129002781,"UD_English-LinES"
"upperAsymptote_Intercept25",0.947857084353139,0.000626669971869556,0.946621281102055,0.949092579932859,"UD_Italian-VIT"
